Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:01:42.558598,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:29.711894,6,"[1, 2, 4, 3, 5, 6]",0.4
2,verbal,B,0:00:38.361006,6,"[6, 1, 2, 3, 4, 5]",0.8
3,verbal,C,0:00:38.276042,6,"[1, 4, 5, 2, 3, 6]",0.4
4,verbal,D,0:00:37.939094,7,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,A,0:01:13.440109,11,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:01:11.412102,11,"[1, 2, 3, 4, 5, 6]",1.0
7,spatial,C,0:01:38.680710,12,"[1, 2, 3, 4, 5, 6]",1.0
8,cartoon,A,0:00:53.389753,6,"[4, 1, 2, 6, 3, 5]",0.2
9,cartoon,B,0:00:43.369993,6,"[2, 3, 5, 6, 4, 1]",0.4
10,cartoon,C,0:01:21.797492,11,"[1, 2, 3, 4, 5, 6]",1.0
11,cartoon,D,0:00:49.586342,6,"[1, 2, 3, 4, 5, 6]",1.0
