Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:48.402576,6,"[1, 2, 6, 3, 5, 4]",0.2
1,verbal,A,0:00:25.579225,6,"[1, 2, 5, 4, 6, 3]",0.2
2,verbal,B,0:00:15.203212,6,"[2, 1, 4, 6, 3, 5]",0.0
3,verbal,C,0:00:17.840675,6,"[2, 1, 4, 5, 3, 6]",0.2
4,verbal,D,0:00:25.156504,6,"[4, 6, 3, 5, 2, 1]",0.0
5,spatial,A,0:02:31.537075,12,"[4, 2, 6, 3, 5, 1]",0.0
6,spatial,B,0:00:37.102207,8,"[3, 1, 5, 6, 2, 4]",0.2
7,spatial,C,0:00:39.993620,6,"[6, 3, 5, 1, 2, 4]",0.2
8,cartoon,A,0:00:22.982042,7,"[4, 3, 5, 1, 6, 2]",0.0
9,cartoon,B,0:00:13.412203,6,"[3, 4, 5, 1, 2, 6]",0.6
10,cartoon,C,0:00:32.639479,6,"[6, 5, 4, 1, 2, 3]",0.4
11,cartoon,D,0:00:14.464534,6,"[4, 3, 1, 6, 2, 5]",0.0
