Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:12.340039,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:17.151186,6,"[1, 2, 3, 4, 6, 5]",0.6
2,verbal,B,0:00:10.572695,6,"[3, 5, 1, 6, 4, 2]",0.0
3,verbal,C,0:00:06.094950,6,"[2, 4, 1, 5, 3, 6]",0.0
4,verbal,D,0:00:06.204315,6,"[2, 5, 1, 3, 6, 4]",0.0
5,spatial,A,0:00:48.389284,6,"[2, 6, 3, 5, 1, 4]",0.0
6,spatial,B,0:00:07.286416,6,"[5, 2, 4, 6, 1, 3]",0.0
7,spatial,C,0:00:06.723264,6,"[3, 5, 1, 6, 4, 2]",0.0
8,cartoon,A,0:00:06.497664,6,"[4, 1, 5, 2, 6, 3]",0.0
9,cartoon,B,0:00:06.361421,6,"[5, 2, 4, 6, 1, 3]",0.0
10,cartoon,C,0:00:08.796267,6,"[3, 5, 1, 4, 2, 6]",0.0
11,cartoon,D,0:00:06.780756,6,"[2, 4, 6, 1, 5, 3]",0.0
