Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:59.214881,9,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:46.080246,14,"[4, 3, 2, 6, 5, 1]",0.0
2,verbal,B,0:01:51.135222,10,"[2, 5, 6, 3, 1, 4]",0.2
3,verbal,C,0:01:54.665048,10,"[3, 6, 2, 4, 1, 5]",0.0
