Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:07.625079,6,"[5, 3, 6, 2, 4, 1]",0.0
1,verbal,B,0:00:13.306970,10,"[1, 2, 4, 3, 6, 5]",0.2
2,verbal,C,0:00:06.924487,6,"[3, 5, 2, 4, 6, 1]",0.0
3,verbal,D,0:00:07.438598,6,"[5, 2, 4, 6, 3, 1]",0.0
4,spatial,A,0:00:07.273840,6,"[2, 4, 6, 1, 3, 5]",0.0
5,spatial,B,0:00:07.401924,6,"[4, 1, 5, 3, 6, 2]",0.0
6,spatial,C,0:00:07.928648,6,"[4, 2, 5, 1, 3, 6]",0.0
7,cartoon,B,0:00:07.022060,6,"[4, 2, 6, 3, 5, 1]",0.0
8,cartoon,C,0:00:07.822383,6,"[6, 3, 4, 2, 5, 1]",0.2
9,cartoon,D,0:00:06.779752,6,"[4, 2, 6, 1, 3, 5]",0.0
