Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:15.988479,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,B,0:00:18.906637,7,"[1, 2, 3, 4, 5, 6]",1.0
2,verbal,C,0:00:14.989369,6,"[1, 2, 3, 4, 5, 6]",1.0
3,verbal,D,0:00:18.258928,7,"[1, 2, 3, 4, 5, 6]",1.0
4,spatial,A,0:00:44.867064,16,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,B,0:00:38.053090,16,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,C,0:00:58.308836,17,"[1, 2, 3, 4, 5, 6]",1.0
7,cartoon,B,0:00:55.739540,8,"[1, 2, 3, 4, 5, 6]",1.0
8,cartoon,C,0:01:31.176840,21,"[1, 4, 5, 2, 3, 6]",0.4
9,cartoon,D,0:00:25.872736,6,"[1, 2, 3, 4, 5, 6]",1.0
