Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:06.833960,6,"[2, 5, 1, 4, 6, 3]",0.0
1,verbal,B,0:00:06.413863,6,"[6, 2, 4, 1, 3, 5]",0.0
2,verbal,C,0:00:06.443605,6,"[4, 6, 1, 3, 5, 2]",0.0
3,verbal,D,0:00:06.124325,6,"[3, 5, 2, 6, 1, 4]",0.0
4,spatial,A,0:00:06.067665,6,"[6, 4, 1, 3, 5, 2]",0.0
5,spatial,B,0:00:05.815998,6,"[4, 6, 3, 1, 5, 2]",0.0
6,spatial,C,0:00:06.614405,6,"[6, 2, 4, 1, 3, 5]",0.0
7,cartoon,B,0:00:07.369090,6,"[5, 3, 1, 4, 2, 6]",0.0
8,cartoon,C,0:00:07.732290,6,"[1, 5, 2, 4, 6, 3]",0.0
9,cartoon,D,0:00:07.005922,6,"[5, 2, 6, 4, 1, 3]",0.0
