Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:07.309262,6,"[5, 1, 3, 6, 2, 4]",0.0
1,verbal,B,0:00:06.481927,6,"[5, 3, 6, 2, 4, 1]",0.0
2,verbal,C,0:00:06.083350,6,"[3, 6, 4, 1, 5, 2]",0.0
3,verbal,D,0:00:06.815914,6,"[4, 1, 5, 3, 6, 2]",0.0
4,spatial,A,0:00:09.172561,6,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,B,0:00:06.833824,6,"[5, 3, 1, 6, 2, 4]",0.0
6,spatial,C,0:00:06.571432,6,"[6, 1, 3, 5, 2, 4]",0.0
7,cartoon,B,0:00:06.708276,6,"[5, 3, 2, 4, 6, 1]",0.0
8,cartoon,C,0:00:06.514794,6,"[2, 5, 3, 6, 1, 4]",0.0
9,cartoon,D,0:00:08.252482,6,"[2, 4, 6, 1, 3, 5]",0.0
