Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:30.898251,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:56.783978,6,"[1, 2, 3, 4, 5, 6]",1.0
2,verbal,B,0:00:55.915642,10,"[1, 2, 3, 4, 5, 6]",1.0
3,verbal,C,0:00:39.764427,6,"[1, 2, 3, 4, 5, 6]",1.0
4,verbal,D,0:00:48.889947,6,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,A,0:00:48.392259,6,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:03:36.386498,38,"[1, 2, 3, 4, 5, 6]",1.0
7,spatial,C,0:02:24.598738,24,"[1, 2, 3, 4, 5, 6]",1.0
8,cartoon,A,0:01:09.959608,7,"[6, 1, 2, 3, 4, 5]",0.8
9,cartoon,B,0:01:39.508555,12,"[1, 2, 3, 6, 5, 6]",0.6
10,cartoon,C,0:01:11.475858,10,"[1, 2, 3, 4, 5, 6]",1.0
11,cartoon,D,0:00:59.744509,8,"[1, 2, 3, 4, 5, 6]",1.0
