Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:25.051601,6,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:00:51.643575,6,"[1, 2, 3, 4, 5, 6]",1.0
2,verbal,B,0:00:44.350129,6,"[1, 2, 3, 4, 5, 6]",1.0
3,verbal,C,0:00:46.269432,6,"[1, 2, 5, 3, 4, 6]",0.4
4,verbal,D,0:01:37.877858,16,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,A,0:01:13.402116,6,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:02:50.553536,26,"[1, 2, 3, 4, 5, 6]",1.0
7,spatial,C,0:01:00.787288,10,"[1, 2, 3, 4, 5, 6]",1.0
8,cartoon,A,0:01:27.278490,9,"[6, 1, 2, 3, 5, 4]",0.4
9,cartoon,B,0:01:05.036611,6,"[1, 2, 6, 3, 5, 4]",0.2
10,cartoon,C,0:01:24.193791,8,"[1, 2, 4, 3, 5, 6]",0.4
11,cartoon,D,0:01:30.184647,7,"[1, 2, 3, 6, 5, 4]",0.4
