Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:07.319411,6,"[2, 5, 3, 6, 4, 1]",0.0
1,verbal,A,0:00:07.949471,6,"[4, 2, 6, 1, 3, 5]",0.0
2,verbal,B,0:00:08.960520,6,"[3, 5, 2, 4, 6, 1]",0.0
3,verbal,C,0:00:09.240910,6,"[6, 3, 5, 1, 4, 2]",0.0
4,verbal,D,0:00:08.568681,6,"[1, 4, 2, 6, 3, 5]",0.0
5,spatial,A,0:00:11.288034,8,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:00:09.227640,6,"[5, 2, 4, 6, 1, 3]",0.0
7,spatial,C,0:00:08.948082,6,"[4, 1, 5, 2, 6, 3]",0.0
8,cartoon,A,0:00:09.284531,6,"[1, 6, 3, 5, 2, 4]",0.0
9,cartoon,B,0:00:09.647882,6,"[4, 2, 6, 1, 5, 3]",0.0
10,cartoon,C,0:00:08.754924,6,"[1, 2, 5, 3, 6, 4]",0.2
11,cartoon,D,0:00:07.854878,6,"[4, 2, 5, 1, 6, 3]",0.0
