Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:00:09.427367,6,"[2, 5, 3, 6, 1, 4]",0.0
1,verbal,A,0:00:09.472016,6,"[5, 2, 4, 1, 6, 3]",0.0
2,verbal,B,0:00:08.956471,6,"[2, 6, 3, 5, 1, 4]",0.0
3,verbal,C,0:00:08.424024,6,"[5, 2, 4, 6, 3, 1]",0.0
4,spatial,A,0:00:07.829582,6,"[3, 6, 4, 2, 5, 1]",0.0
5,spatial,B,0:00:08.126104,6,"[4, 2, 5, 3, 6, 1]",0.0
6,spatial,C,0:00:07.229472,6,"[4, 6, 1, 3, 5, 2]",0.0
7,cartoon,B,0:00:07.774310,6,"[5, 2, 6, 3, 1, 4]",0.0
8,cartoon,C,0:00:15.151023,6,"[1, 5, 3, 6, 2, 4]",0.0
9,cartoon,D,0:00:08.014944,6,"[3, 6, 1, 4, 2, 5]",0.0
