Round,Type,Variation,Duration,Moves,Order,Score
0,control,A,0:01:53.936314,8,"[1, 2, 3, 4, 5, 6]",1.0
1,verbal,A,0:01:26.751653,8,"[1, 2, 4, 3, 5, 6]",0.4
2,verbal,B,0:01:41.780486,11,"[1, 2, 3, 4, 5, 6]",1.0
3,verbal,C,0:02:48.891690,16,"[1, 2, 3, 5, 4, 6]",0.4
4,verbal,D,0:03:35.229153,26,"[1, 2, 3, 4, 5, 6]",1.0
5,spatial,A,0:06:47.630159,50,"[1, 2, 3, 4, 5, 6]",1.0
6,spatial,B,0:07:42.967693,40,"[1, 2, 3, 4, 5, 6]",1.0
7,spatial,C,0:00:21.090230,6,"[6, 4, 2, 5, 3, 1]",0.0
8,cartoon,A,0:03:30.858287,17,"[1, 2, 4, 3, 5, 6]",0.4
9,cartoon,B,0:03:30.898328,14,"[1, 2, 4, 3, 5, 6]",0.4
10,cartoon,C,0:02:11.890497,11,"[1, 2, 5, 3, 4, 6]",0.4
11,cartoon,D,0:05:26.737590,21,"[1, 2, 3, 4, 5, 6]",1.0
